Org Defined ID,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
276025,1,1/24/2021 3:37 AM,1/24/2021 3:38 AM,1,,,Trees,,,,,,,
276025,1,1/24/2021 3:37 AM,1/24/2021 3:38 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
276025,1,1/24/2021 3:37 AM,1/24/2021 3:38 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,75,0.5,1
276025,1,1/24/2021 3:37 AM,1/24/2021 3:38 AM,1,,,Summary:,,Trees,,,,,
253384,1,1/24/2021 10:12 AM,1/24/2021 10:14 AM,1,,,Trees,,,,,,,
253384,1,1/24/2021 10:12 AM,1/24/2021 10:14 AM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
253384,1,1/24/2021 10:12 AM,1/24/2021 10:14 AM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,70,0.5,1
253384,1,1/24/2021 10:12 AM,1/24/2021 10:14 AM,1,,,Summary:,,Trees,,,,,
271755,1,1/24/2021 10:06 PM,1/24/2021 10:08 PM,1,,,Trees,,,,,,,
271755,1,1/24/2021 10:06 PM,1/24/2021 10:08 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
271755,1,1/24/2021 10:06 PM,1/24/2021 10:08 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100,0.5,1
271755,1,1/24/2021 10:06 PM,1/24/2021 10:08 PM,1,,,Summary:,,Trees,,,,,
267868,1,1/24/2021 9:36 AM,1/24/2021 9:38 AM,1,,,Trees,,,,,,,
267868,1,1/24/2021 9:36 AM,1/24/2021 9:38 AM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
267868,1,1/24/2021 9:36 AM,1/24/2021 9:38 AM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100,0.5,1
267868,1,1/24/2021 9:36 AM,1/24/2021 9:38 AM,1,,,Summary:,,Trees,,,,,
116911,1,1/25/2021 11:33 AM,1/25/2021 11:34 AM,1,,,Trees,,,,,,,
116911,1,1/25/2021 11:33 AM,1/25/2021 11:34 AM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
116911,1,1/25/2021 11:33 AM,1/25/2021 11:34 AM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,65,0.5,1
116911,1,1/25/2021 11:33 AM,1/25/2021 11:34 AM,1,,,Summary:,,Trees,,,,,
276547,1,1/25/2021 3:34 PM,1/25/2021 3:35 PM,1,,,Trees,,,,,,,
276547,1,1/25/2021 3:34 PM,1/25/2021 3:35 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
276547,1,1/25/2021 3:34 PM,1/25/2021 3:35 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,85,0.5,1
276547,1,1/25/2021 3:34 PM,1/25/2021 3:35 PM,1,,,Summary:,,Trees,,,,,
269197,1,1/23/2021 5:19 PM,1/23/2021 5:20 PM,1,,,Trees,,,,,,,
269197,1,1/23/2021 5:19 PM,1/23/2021 5:20 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
269197,1,1/23/2021 5:19 PM,1/23/2021 5:20 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,120,0.5,1
269197,1,1/23/2021 5:19 PM,1/23/2021 5:20 PM,1,,,Summary:,,Trees,,,,,
197228,1,1/23/2021 4:31 PM,1/23/2021 4:32 PM,1,,,Trees,,,,,,,
197228,1,1/23/2021 4:31 PM,1/23/2021 4:32 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
197228,1,1/23/2021 4:31 PM,1/23/2021 4:32 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,200,0.5,1
197228,1,1/23/2021 4:31 PM,1/23/2021 4:32 PM,1,,,Summary:,,Trees,,,,,
276106,1,1/23/2021 5:17 PM,1/23/2021 5:18 PM,1,,,Trees,,,,,,,
276106,1,1/23/2021 5:17 PM,1/23/2021 5:18 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
276106,1,1/23/2021 5:17 PM,1/23/2021 5:18 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100,0.5,1
276106,1,1/23/2021 5:17 PM,1/23/2021 5:18 PM,1,,,Summary:,,Trees,,,,,
270285,1,1/24/2021 2:43 PM,1/24/2021 2:44 PM,1,,,Trees,,,,,,,
270285,1,1/24/2021 2:43 PM,1/24/2021 2:44 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
270285,1,1/24/2021 2:43 PM,1/24/2021 2:44 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100,0.5,1
270285,1,1/24/2021 2:43 PM,1/24/2021 2:44 PM,1,,,Summary:,,Trees,,,,,
193079,1,1/23/2021 4:30 PM,1/23/2021 4:31 PM,1,,,Trees,,,,,,,
193079,1,1/23/2021 4:30 PM,1/23/2021 4:31 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
193079,1,1/23/2021 4:30 PM,1/23/2021 4:31 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,70,0.5,1
193079,1,1/23/2021 4:30 PM,1/23/2021 4:31 PM,1,,,Summary:,,Trees,,,,,
269026,1,1/24/2021 6:52 PM,1/24/2021 6:53 PM,1,,,Trees,,,,,,,
269026,1,1/24/2021 6:52 PM,1/24/2021 6:53 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0.5,1
269026,1,1/24/2021 6:52 PM,1/24/2021 6:53 PM,,1,FIB,Trees 1,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 50 metres tall? B.  more than 50 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,100-110m,0.5,1
269026,1,1/24/2021 6:52 PM,1/24/2021 6:53 PM,1,,,Summary:,,Trees,,,,,
193383,1,1/24/2021 12:04 AM,1/24/2021 12:05 AM,1,,,Trees,,,,,,,
193383,1,1/24/2021 12:04 AM,1/24/2021 12:05 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
193383,1,1/24/2021 12:04 AM,1/24/2021 12:05 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,80,0.5,1
193383,1,1/24/2021 12:04 AM,1/24/2021 12:05 AM,1,,,Summary:,,Trees,,,,,
277880,1,1/24/2021 7:14 AM,1/24/2021 7:15 AM,1,,,Trees,,,,,,,
277880,1,1/24/2021 7:14 AM,1/24/2021 7:15 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
277880,1,1/24/2021 7:14 AM,1/24/2021 7:15 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,120,0.5,1
277880,1,1/24/2021 7:14 AM,1/24/2021 7:15 AM,1,,,Summary:,,Trees,,,,,
274452,1,1/24/2021 2:53 AM,1/24/2021 2:54 AM,1,,,Trees,,,,,,,
274452,1,1/24/2021 2:53 AM,1/24/2021 2:54 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0,1
274452,1,1/24/2021 2:53 AM,1/24/2021 2:54 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,200,0,1
274452,1,1/24/2021 2:53 AM,1/24/2021 2:54 AM,1,,,Summary:,,Trees,,,,,
263064,1,1/25/2021 9:27 AM,1/25/2021 9:29 AM,1,,,Trees,,,,,,,
263064,1,1/25/2021 9:27 AM,1/25/2021 9:29 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,A,0.5,1
263064,1,1/25/2021 9:27 AM,1/25/2021 9:29 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,120,0.5,1
263064,1,1/25/2021 9:27 AM,1/25/2021 9:29 AM,1,,,Summary:,,Trees,,,,,
269025,1,1/24/2021 1:15 AM,1/24/2021 1:16 AM,1,,,Trees,,,,,,,
269025,1,1/24/2021 1:15 AM,1/24/2021 1:16 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0,1
269025,1,1/24/2021 1:15 AM,1/24/2021 1:16 AM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,200,0,1
269025,1,1/24/2021 1:15 AM,1/24/2021 1:16 AM,1,,,Summary:,,Trees,,,,,
277079,1,1/24/2021 11:14 PM,1/24/2021 11:16 PM,1,,,Trees,,,,,,,
277079,1,1/24/2021 11:14 PM,1/24/2021 11:16 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 1,B,0,1
277079,1,1/24/2021 11:14 PM,1/24/2021 11:16 PM,,1,FIB,Trees 2,The coast redwood is perhaps the tallest species of tree growing today. Do you think the tallest tree of this species alive today is  A.  less than 150 metres tall? B.  more than 150 metres tall?Answer A or B in the box below  _______  Write down your best guess (in metres) of how tall you think the tallest tree might be. _______,False,1,Answer for blank # 2,150,0,1
